料金按分集計一覧表[グループ別集計]
按分方式,空調負荷按分
集計期間,2025/01/01～2025/01/31
集計日,2025/02/01 09:56

グループ名称,ガス使用量[m3],ガス従量料金[円],電力使用量[kWh],電力従量料金[円]
1530 ﾊﾞﾘｰ,249.4,249.400,59.9,59.900
1530 ﾊﾞﾘｰ,289.9,289.900,103.8,103.800
1705 ｶﾝﾍﾟｰﾙ,70.6,70.600,24.3,24.300
1705 ｶﾝﾍﾟｰﾙ,120.6,120.600,32.5,32.500
1710 ｾﾞﾛﾊﾘﾊﾞｰﾄﾝ,189.0,189.000,52.2,52.200
1710 ｾﾞﾛﾊﾘﾊﾞｰﾄﾝ,178.0,178.000,55.9,55.900
1715 ﾙ ｸﾙｰｾﾞ,71.8,71.800,24.4,24.400
1715 ﾙ ｸﾙｰｾﾞ,123.4,123.400,34.2,34.200
1720 たち吉,214.1,214.100,56.6,56.600
1720 たち吉,140.2,140.200,43.8,43.800
1800 ｸﾛｯｸｽ,189.1,189.100,46.7,46.700
1800 ｸﾛｯｸｽ,151.6,151.600,51.1,51.100
1805 昭和西川,29.9,29.900,21.3,21.300
1805 昭和西川,301.0,301.000,89.8,89.800
1810 ﾘﾌﾟﾚｲ,209.9,209.900,70.0,70.000
1810 ﾘﾌﾟﾚｲ,140.0,140.000,34.7,34.700
1815 ﾀﾞｲｱﾅ,107.3,107.300,31.2,31.200
1815 ﾀﾞｲｱﾅ,181.2,181.200,55.6,55.600
1820 ｻﾝﾘｵ,122.3,122.300,44.0,44.000
1820 ｻﾝﾘｵ,248.7,248.700,71.1,71.100
1825 ﾊﾟﾝﾄﾞﾗ,217.3,217.300,53.6,53.600
1830 ﾏﾏのﾘﾎｰﾑ,5.5,5.500,14.6,14.600
1835 ｲﾍﾞﾝﾄｽﾍﾟｰｽ,409.9,409.900,107.3,107.300
1840 ｵｰﾙｾｲﾝﾂ,432.8,432.800,124.1,124.100
1845 ﾌﾙﾗ,190.6,190.600,66.0,66.000
1845 ﾌﾙﾗ,103.9,103.900,20.8,20.800
1850 ｱｲﾊﾞﾝ,138.4,138.400,29.4,29.400
1860 ﾀｸﾞ･ﾎｲﾔｰ,505.1,505.100,119.1,119.100
2700 ﾒﾝｽﾞﾋﾞｷﾞ,82.7,82.700,30.7,30.700
2700 ﾒﾝｽﾞﾋﾞｷﾞ,50.6,50.600,26.3,26.300
2705 ｴｰｸﾞﾙ,51.2,51.200,28.6,28.600
2705 ｴｰｸﾞﾙ,103.2,103.200,35.6,35.600
2710 HUF,101.5,101.500,36.3,36.300
2710 HUF,148.3,148.300,40.2,40.200
2715 ｲﾍﾞﾝﾄｽﾍﾟｰｽ,178.6,178.600,54.2,54.200
2715 ｲﾍﾞﾝﾄｽﾍﾟｰｽ,249.5,249.500,74.2,74.200
2800 LHP,49.7,49.700,22.3,22.300
2800 LHP,132.8,132.800,32.7,32.700
2805 ﾘｰﾊﾞｲｽ,53.5,53.500,20.8,20.800
2805 ﾘｰﾊﾞｲｽ,164.8,164.800,40.4,40.400
2810 ﾘｰﾊﾞｲｽ,19.8,19.800,31.4,31.400
2810 ﾘｰﾊﾞｲｽ,10.8,10.800,29.8,29.800
2815 ｴｸｽﾄﾗｰｼﾞ,147.5,147.500,49.3,49.300
2815 ｴｸｽﾄﾗﾗｰｼﾞ/ｴｯｸｽｶﾞｰﾙ,153.4,153.400,49.8,49.800
2820a ﾐｽﾞﾉ,314.0,314.000,77.5,77.500
2820b ﾐｽﾞﾉ,246.5,246.500,62.0,62.000
2825a ﾂｳﾞｨﾘﾝｸﾞJAﾍﾝｹﾙｽ,287.3,287.300,69.8,69.800
2825b ﾂｳﾞｨﾘﾝｸﾞJAﾍﾝｹﾙｽ,,,,
2835 ﾍﾞﾍﾞ,181.8,181.800,68.2,68.200
2840 ﾋﾟﾝ,182.8,182.800,65.5,65.500
2845 ｴｰｽ,210.7,210.700,66.3,66.300
2850 ｸｲｯｸｼﾙﾊﾞｰ,273.9,273.900,79.0,79.000
2850 ｸｲｯｸｼﾙﾊﾞｰ,259.9,259.900,73.3,73.300
6400-A ﾋﾞｰﾑｽ,253.2,253.200,139.7,139.700
6400-B ﾋﾞｰﾑｽ,366.0,366.000,166.5,166.500
6400-C ﾋﾞｰﾑｽ,305.1,305.100,163.3,163.300
ｵﾌｨｽ/更衣室,52.8,52.800,16.8,16.800
倉庫,14.4,14.400,10.9,10.900
救護室,10.3,10.300,7.6,7.600
ﾍﾞﾋﾞｰｶｰ置き場,80.8,80.800,30.2,30.200
ｲﾝﾌｫﾒｰｼｮﾝ,116.6,116.600,33.2,33.200
ｲﾝﾌｫﾒｰｼｮﾝ,127.1,127.100,34.0,34.000
ｲﾝﾌｫﾒｰｼｮﾝ,106.1,106.100,32.0,32.000
7400 ｸﾚｽﾄﾌﾞﾘｯｼﾞ,577.5,577.500,166.6,166.600
合計,10996.2,10996.200,3503.0,3503.000
